timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:46.523687,of:0000000000000003,1,0,278
2022-10-20T16:04:46.523758,of:0000000000000003,2,0,278
2022-10-20T16:04:46.523769,of:0000000000000003,3,278,278
2022-10-20T16:04:46.523785,of:0000000000000004,1,0,278
2022-10-20T16:04:46.523794,of:0000000000000004,2,0,278
2022-10-20T16:04:46.523802,of:0000000000000004,3,278,278
2022-10-20T16:04:46.523815,of:0000000000000001,1,278,278
2022-10-20T16:04:46.523824,of:0000000000000001,2,278,278
2022-10-20T16:04:46.523837,of:0000000000000002,1,278,278
2022-10-20T16:04:46.524,of:0000000000000002,2,278,278
2022-10-20T16:04:46.524021,of:0000000000000002,3,278,278
2022-10-20T16:04:46.524063,of:0000000000000007,1,0,278
2022-10-20T16:04:46.524074,of:0000000000000007,2,0,278
2022-10-20T16:04:46.524083,of:0000000000000007,3,278,278
2022-10-20T16:04:46.524096,of:0000000000000005,1,278,278
2022-10-20T16:04:46.524105,of:0000000000000005,2,278,278
2022-10-20T16:04:46.524114,of:0000000000000005,3,278,278
2022-10-20T16:04:46.524126,of:0000000000000006,1,0,278
2022-10-20T16:04:46.524136,of:0000000000000006,2,0,278
2022-10-20T16:04:46.524745,of:0000000000000006,3,278,278
2022-10-20T16:04:47.526990,of:0000000000000003,1,0,278
2022-10-20T16:04:47.527068,of:0000000000000003,2,0,278
2022-10-20T16:04:47.527079,of:0000000000000003,3,278,278
2022-10-20T16:04:47.527094,of:0000000000000004,1,0,278
2022-10-20T16:04:47.527104,of:0000000000000004,2,0,278
2022-10-20T16:04:47.527112,of:0000000000000004,3,278,278
2022-10-20T16:04:47.527125,of:0000000000000001,1,278,278
2022-10-20T16:04:47.527133,of:0000000000000001,2,278,278
2022-10-20T16:04:47.527145,of:0000000000000002,1,278,278
2022-10-20T16:04:47.527154,of:0000000000000002,2,278,278
2022-10-20T16:04:47.527162,of:0000000000000002,3,278,278
2022-10-20T16:04:47.527174,of:0000000000000007,1,0,278
2022-10-20T16:04:47.527183,of:0000000000000007,2,0,278
2022-10-20T16:04:47.527269,of:0000000000000007,3,278,278
2022-10-20T16:04:47.527291,of:0000000000000005,1,278,278
2022-10-20T16:04:47.527301,of:0000000000000005,2,278,278
2022-10-20T16:04:47.527309,of:0000000000000005,3,278,278
2022-10-20T16:04:47.527321,of:0000000000000006,1,0,278
2022-10-20T16:04:47.527330,of:0000000000000006,2,0,278
2022-10-20T16:04:47.527338,of:0000000000000006,3,278,278
2022-10-20T16:04:48.529522,of:0000000000000003,1,0,556
2022-10-20T16:04:48.529591,of:0000000000000003,2,0,556
2022-10-20T16:04:48.529601,of:0000000000000003,3,556,556
2022-10-20T16:04:48.529615,of:0000000000000004,1,0,556
2022-10-20T16:04:48.529623,of:0000000000000004,2,0,556
2022-10-20T16:04:48.529630,of:0000000000000004,3,556,556
2022-10-20T16:04:48.529641,of:0000000000000001,1,556,556
2022-10-20T16:04:48.529648,of:0000000000000001,2,556,556
2022-10-20T16:04:48.529659,of:0000000000000002,1,556,556
2022-10-20T16:04:48.529666,of:0000000000000002,2,556,556
2022-10-20T16:04:48.529673,of:0000000000000002,3,556,556
2022-10-20T16:04:48.529684,of:0000000000000007,1,0,556
2022-10-20T16:04:48.529691,of:0000000000000007,2,0,556
2022-10-20T16:04:48.529697,of:0000000000000007,3,556,556
2022-10-20T16:04:48.529708,of:0000000000000005,1,556,556
2022-10-20T16:04:48.529715,of:0000000000000005,2,556,556
2022-10-20T16:04:48.529721,of:0000000000000005,3,556,556
2022-10-20T16:04:48.529731,of:0000000000000006,1,0,556
2022-10-20T16:04:48.529738,of:0000000000000006,2,0,556
2022-10-20T16:04:48.529745,of:0000000000000006,3,556,556
2022-10-20T16:04:49.537308,of:0000000000000003,1,0,556
2022-10-20T16:04:49.537379,of:0000000000000003,2,0,556
2022-10-20T16:04:49.537390,of:0000000000000003,3,556,556
2022-10-20T16:04:49.537405,of:0000000000000004,1,0,556
2022-10-20T16:04:49.537412,of:0000000000000004,2,0,556
2022-10-20T16:04:49.537420,of:0000000000000004,3,556,556
2022-10-20T16:04:49.537431,of:0000000000000001,1,556,556
2022-10-20T16:04:49.537439,of:0000000000000001,2,556,556
2022-10-20T16:04:49.537451,of:0000000000000002,1,556,556
2022-10-20T16:04:49.537459,of:0000000000000002,2,556,556
2022-10-20T16:04:49.537466,of:0000000000000002,3,556,556
2022-10-20T16:04:49.537478,of:0000000000000007,1,0,556
2022-10-20T16:04:49.537486,of:0000000000000007,2,0,556
2022-10-20T16:04:49.537493,of:0000000000000007,3,556,556
2022-10-20T16:04:49.537504,of:0000000000000005,1,556,556
2022-10-20T16:04:49.537512,of:0000000000000005,2,556,556
2022-10-20T16:04:49.537519,of:0000000000000005,3,556,556
2022-10-20T16:04:49.537530,of:0000000000000006,1,0,556
2022-10-20T16:04:49.537538,of:0000000000000006,2,0,556
2022-10-20T16:04:49.537546,of:0000000000000006,3,556,556
2022-10-20T16:04:50.538839,of:0000000000000003,1,0,556
2022-10-20T16:04:50.538896,of:0000000000000003,2,0,556
2022-10-20T16:04:50.538905,of:0000000000000003,3,556,556
2022-10-20T16:04:50.538928,of:0000000000000004,1,0,556
2022-10-20T16:04:50.538935,of:0000000000000004,2,0,556
